tic_id,category,subcategory,road_name,distance,text,areas
EAAAAAs4Oz0iIh04ODc4LgU3NgM/NxI/IwM3PxA/GC8pBDcSPyMDNxIvNwI3EicxAjcSPyoCJzECPysJLz4BJy4GPyMDNzoG,2,9,,0,"Stuttgart, Böblinger Straße
zwischen Adlerstraße und Schickhardtstraße
gesperrt, Baustelle, eine Umleitung ist eingerichtet, bis voraussichtlich 15.05.2026 | Süd | Stuttgart",
CAAAAAgoIT0tIh0oPSM6LgUgPQMoLw04PQIgLAkgKwIwNAYmKQI8OAc6MwEkMAUwMAMgLAk4LwQoJAs=,2,9,,10.54,"Stuttgart, Rosenbergstraße
zwischen Seidenstraße und Hegelstraße
in beiden Richtungen gesperrt, Baustelle, eine örtliche Umleitung ist eingerichtet, bis voraussichtlich 12.12.2025 | Mitte | Stuttgart",
EgAAAAsoMyo+IR0wJj4rLgUoLgYoMxAoOAEoNQU4KwEwIgU4PQIgMAw4KwE4OgYoHzAiBSAZMCIFMCUBKDkIOBIoPAQ4KwE+PQo=,2,9,,0,"Stuttgart, Böblinger Straße
zwischen Seilbahnstraße und Hohentwielstraße
in beiden Richtungen Baustelle, für beide Richtungen nur ein Fahrstreifen abwechselnd frei, vorübergehende Regelung durch provisorische Ampelanlagen, bis voraussichtlich 19.12.2025 | Süd | Stuttgart",
AQAAAAEgOyA4IR04PCE4LgU=,1,204,,,"Stuttgart-Degerloch, P+R Albstraße
Stellplätze wieder verfügbar | P+R Albstraße | Degerloch",
FAAAAAsyKCgoMxw6MSY3MQQ/MBAkLxA5NggqOgg/IAcoNQUvMQogJQo3MwcgOgc/KRQoMBQ3ORgoNBcnPxkwLBknPQs4MAsnMgkgJQo=,2,7,,15.63,"B31 Breisach am Rhein - Freiburg
zwischen Abzweig nach Hochstetten und Breisach-Oberrimsingen
in beiden Richtungen schwerer Unfall, gesperrt, ortskundige Autofahrer werden gebeten, das Gebiet weiträumig zu umfahren | Breisach am Rhein | Breisgau-Hochschwarzwald",
CgAAAAo4Jz8uIx0gODs0LgUoOAEoMgk4EjAwAyAZMCkEKB8wIgUwDCg4ATgSMDADICUBODIFICYBODcFMCUBKC4G,2,9,,0,"Stuttgart, Strohgäustraße
zwischen Adestraße und Gottfried-Keller-Straße
gesperrt, Baustelle, eine Umleitung ist eingerichtet, bis voraussichtlich 12.12.2025 | Zuffenhausen | Stuttgart",
xAEAAAs4NDkqIx04JjklKQUwKi8DPyUrCDA4LQMvPioNJBEpLRc0KTgBNTA/CCgrCj8nHzggKyIBLzY3FSQ1LQQlKDkELCg1ASkxPwEwNzQBJzY+ATAyPAI/JTwb,2,7,,0,"A8 Stuttgart Richtung Karlsruhe
zwischen Heimsheim und Pforzheim-Nord
7 km stockender Verkehr | Heimsheim | Enzkreis",
FAIAAAswIjo/MRwgIj8uJQU/KDoQMCI+GTAMMDkpAT8lMgcgJiQiAT8iKAk4OjwENzoGODMHPyMcMC0gASchMwMgMSkFJyMdMD4zATchBiA+Cic2DCg7Fg==,2,7,,0,"A81 Stuttgart Richtung Singen
zwischen Geisingen und Engen
Bergungsarbeiten, Richtungsfahrbahn gesperrt, eine Umleitung ist eingerichtet, am 10.12.2025 ab 12:00 Uhr, empfohlene Umleitung: U58
(Verkehr wird an der AS Geisingen ausgeleitet) | Geisingen | Tuttlingen",
VwAAAAs4NScgLxwwJyIsKwUgNCwEPywnDCg1BT8uHjggGC8kJgk3EicgIQEnIwQvMyoCPycGLychAj8qGz8yNwU/KwkvIzcCOCQCJyEzAyA5GTc6IwQ=,2,7,,0,"B33 Konstanz Richtung Singen
zwischen Radolfzell und B34, Singen/Steißlingen
Gefahr durch Gegenstände auf der Fahrbahn | Radolfzell am Bodensee | Konstanz",
OQAAAAsoPj46Lx0iICYvIgUvKR4uLigBNywIODQOPzQ6Ayg4MwE/LRcnMgk3KQw3KAU3ORg3KQwvOAknPAQ/IQ4vJgg3OCoBLykdLzQGNygF,3,203,,231.43,"B38A Mannheim-Feudenheim Richtung Mannheim-Neckarau
zwischen Feudenheim und A656, Mannheim-Neckarau
Gefahr besteht nicht mehr | Feudenheim | Mannheim",
