source_id,original_uid,name,type,purpose,lat,lon,capacity,opening_hours,has_realtime_data,static_data_updated_at
62,54,Heinrich-Grebe-Straße,ON_STREET,CAR,48.9023264,8.5787469,9,24/7,False,2023-08-30T12:00:00Z
39,INFRA-de:08111:6115-PARKPLATZ-2,Parkplatz,OTHER,CAR,48.7867948,9.1815003,5,,False,2025-12-10T01:00:53Z
39,INFRA-de:08115:6525-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.6447802,9.0089752,11,,False,2025-12-10T01:00:54Z
39,INFRA-de:08116:7003-PARKPLATZ-2,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.6920797,9.1684666,4,,False,2025-12-10T01:00:54Z
39,INFRA-de:08116:7003-PARKPLATZ-4,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.6918887,9.1693868,20,,False,2025-12-10T01:00:54Z
39,INFRA-de:08125:2003-PARKPLATZ-2,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.1499892,9.3158685,2,,False,2025-12-10T01:00:54Z
39,INFRA-de:08125:4344-PARKPLATZ-3,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.1477623,9.2882337,8,,False,2025-12-10T01:00:54Z
38,INFRA-de:08215:1406-FAHRRADANLAGE-1,Parkplatz,WALL_LOOPS,BIKE,48.8976756,8.4745203,12,,False,2025-12-10T01:03:36Z
39,INFRA-de:08115:7302-PARKPLATZ-2,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.7751009,8.9325278,22,,False,2025-12-10T01:00:54Z
50,2-2-2-1222006-951,P+R Parkhaus am Bahnhof Wiesloch-Walldorf,CAR_PARK,CAR,49.2911400,8.6649200,263,24/7,True,2025-12-10T01:02:47Z
39,INFRA-de:08126:19600-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.1620461,9.4338704,29,,False,2025-12-10T01:00:54Z
26,1495,"Hamburg, Marktplatz-Galerie Bramfeld",CAR_PARK,CAR,53.6119430,10.0769340,435,Mo-Fr 07:00-22:00; Sa 07:00-22:00,False,2025-11-28T07:37:52Z
61,3,3,ON_STREET,CAR,48.7424280,9.3065537,1,,False,2022-03-15T12:00:00Z
9,1017,Zuffenhausen Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.8306334,9.1653627,188,24/7,False,2025-11-19T10:09:31Z
28,151766506,Abstellanlage,STANDS,BIKE,48.4775444,8.9345036,12,,False,2025-12-10T01:02:49Z
28,152443403,Abstellanlage,OTHER,BIKE,49.2107411,9.2473082,5,,False,2025-12-10T01:02:49Z
39,INFRA-de:08127:20492-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.2494351,10.0296195,21,,False,2025-12-10T01:00:54Z
39,INFRA-de:08127:21001-PARKPLATZ-2,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.1394637,10.0643046,8,,False,2025-12-10T01:00:54Z
8,47,P3 Klostergraben,UNDERGROUND,CAR,49.1903376,9.2259890,41,24/7,False,2025-11-19T10:09:34Z
28,152443437,Abstellanlage,OTHER,BIKE,49.1913072,9.2067197,12,,False,2025-12-10T01:02:49Z
38,INFRA-de:08116:5794-FAHRRADANLAGE-1,Parkplatz,WALL_LOOPS,BIKE,48.5583493,9.3743177,5,,False,2025-12-10T01:03:36Z
62,79,Römerstraße,ON_STREET,CAR,48.9007675,8.5740147,7,24/7,False,2023-08-30T12:00:00Z
38,INFRA-de:08117:158-FAHRRADANLAGE-1,Parkplatz,STANDS,BIKE,48.6605815,9.7877491,22,,False,2025-12-10T01:03:36Z
38,INFRA-de:08119:7701-FAHRRADANLAGE-2,Parkplatz,WALL_LOOPS,BIKE,48.8156444,9.3184064,24,,False,2025-12-10T01:03:36Z
39,INFRA-de:08136:1906-PARKPLATZ-2,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.8591960,10.1034810,30,,False,2025-12-10T01:00:54Z
39,INFRA-de:08215:32585-PARKPLATZ-5,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.1612901,8.4916596,160,,False,2025-12-10T01:00:54Z
39,INFRA-de:08315:6517-PARKPLATZ-2,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.0406717,7.6500885,14,,False,2025-12-10T01:00:54Z
39,INFRA-de:08415:22003-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.5124374,9.1509806,11,,False,2025-12-10T01:00:54Z
59,97929592d1b8adaf0e16c6b319aee70d,Hugstmattweg,ON_STREET,CAR,47.9978138,7.7162913,3,,False,2025-12-10T01:01:28Z
60,851767717-20.95-72.675,Parkplatz,ON_STREET,CAR,49.4155905,8.6786154,20,,False,2025-12-10T01:02:59Z
9,1022,Weilimdorf Weissacher Str. Nord,OFF_STREET_PARKING_GROUND,CAR,48.8214523,9.0929134,168,24/7,False,2025-11-19T10:09:31Z
6,100011-parking,Parkplatz Bad Hersfeld Bahnhofsplatz,OFF_STREET_PARKING_GROUND,CAR,50.8704410,9.7161960,41,24/7,False,2025-12-10T01:02:02Z
62,139,Schillerstraße,ON_STREET,CAR,48.8964023,8.5992758,0,24/7,False,2023-08-30T12:00:00Z
28,152443434,Abstellanlage,OTHER,BIKE,49.1913483,9.2064643,12,,False,2025-12-10T01:02:49Z
62,134,Poststraße,ON_STREET,CAR,48.8961138,8.5993857,0,24/7,False,2023-08-30T12:00:00Z
62,153,Schulstraße,ON_STREET,CAR,48.8965225,8.6000310,4,24/7,False,2023-08-30T12:00:00Z
70,185,Rheingaustraße,ON_STREET,CAR,49.4730663,8.6099126,1,,False,2025-11-19T10:10:48Z
28,152443441,Abstellanlage,OTHER,BIKE,49.1759023,9.2242604,5,,False,2025-12-10T01:02:49Z
39,INFRA-de:08119:7605-PARKPLATZ-3,Parkplatz,OTHER,CAR,48.8796308,9.3925686,1,,False,2025-12-10T01:00:54Z
39,INFRA-de:08125:1438-PARKPLATZ-10,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.0786857,9.1512499,73,,False,2025-12-10T01:00:54Z
39,INFRA-de:08125:1438-PARKPLATZ-8,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.0756013,9.1441486,58,,False,2025-12-10T01:00:54Z
39,INFRA-de:08125:1907-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.2970809,9.3059987,10,,False,2025-12-10T01:00:54Z
39,INFRA-de:08136:2007-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.9646615,10.1299403,1,,False,2025-12-10T01:00:54Z
39,INFRA-de:08215:1557-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.0450951,8.7246010,7,,False,2025-12-10T01:00:54Z
39,INFRA-de:08221:1160-PARKPLATZ-3,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.4039028,8.6767580,40,,False,2025-12-10T01:00:54Z
28,152443481,Abstellanlage,LOCKERS,BIKE,48.9645368,10.1298962,24,,False,2025-12-10T01:02:49Z
28,91616839,Abstellanlage,STANDS,BIKE,48.8904354,8.6979892,10,,False,2025-12-10T01:02:49Z
28,91616890,Abstellanlage,STANDS,BIKE,48.8886391,8.6973843,20,,False,2025-12-10T01:02:49Z
38,INFRA-de:08117:161-FAHRRADANLAGE-2,Parkplatz,TWO_TIER,BIKE,48.6186814,9.8416517,48,,False,2025-12-10T01:03:36Z
38,INFRA-de:08121:26-FAHRRADANLAGE-2,Parkplatz,OTHER,BIKE,49.1432061,9.2089773,10,,False,2025-12-10T01:03:36Z
38,INFRA-de:08237:7101-FAHRRADANLAGE-1,Parkplatz,WALL_LOOPS,BIKE,48.4369363,8.7037121,3,,False,2025-12-10T01:03:37Z
26,3565,"Chemnitz, Rathaus Passagen",CAR_PARK,CAR,50.8350550,12.9200210,480,24/7,False,2025-10-13T12:06:26Z
70,189,P Neue Anlage,ON_STREET,CAR,49.4735751,8.6130744,57,,False,2025-11-19T10:10:48Z
6,100013-parking,Parkplatz Bahnhof Bad Kreuznach,OFF_STREET_PARKING_GROUND,CAR,49.8415200,7.8652870,54,24/7,False,2025-12-10T01:02:02Z
28,91616867,Abstellanlage,WALL_LOOPS,BIKE,48.8334309,8.7324107,6,,False,2025-12-10T01:02:49Z
28,91617129,Abstellanlage,STANDS,BIKE,48.8855960,8.6957292,6,,False,2025-12-10T01:02:49Z
38,INFRA-de:08118:7400-FAHRRADANLAGE-1,Parkplatz,WALL_LOOPS,BIKE,48.9079684,9.1476541,26,,False,2025-12-10T01:03:36Z
38,INFRA-de:08225:9129-FAHRRADANLAGE-2,Parkplatz,WALL_LOOPS,BIKE,49.3985444,9.0744975,10,,False,2025-12-10T01:03:37Z
39,INFRA-de:08116:4211-PARKPLATZ-3,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.6451145,9.4437302,4,,False,2025-12-10T01:00:54Z
39,INFRA-de:08119:5761-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.7962633,9.5957735,25,,False,2025-12-10T01:00:54Z
39,INFRA-de:08119:7600-PARKPLATZ-2,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.9422429,9.4259232,60,,False,2025-12-10T01:00:54Z
39,INFRA-de:08119:7701-PARKPLATZ-2,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.8151020,9.3198779,30,,False,2025-12-10T01:00:54Z
38,INFRA-de:08226:1892-FAHRRADANLAGE-14,Parkplatz,STANDS,BIKE,49.3415178,8.6694116,72,,False,2025-12-10T01:03:37Z
38,INFRA-de:08236:2290-FAHRRADANLAGE-2,Parkplatz,WALL_LOOPS,BIKE,48.9855973,8.7537114,60,,False,2025-12-10T01:03:37Z
39,INFRA-de:08119:7703-PARKPLATZ-4,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.8065543,9.5257877,7,,False,2025-12-10T01:00:54Z
39,INFRA-de:08121:26-PARKPLATZ-3,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.1425184,9.2074417,15,,False,2025-12-10T01:00:54Z
39,INFRA-de:08121:3033-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.1407170,9.2340055,2,,False,2025-12-10T01:00:54Z
39,INFRA-de:08125:1913-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.3618166,9.3415720,35,,False,2025-12-10T01:00:54Z
39,INFRA-de:08136:4214-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.8556937,10.3509231,9,,False,2025-12-10T01:00:54Z
38,INFRA-de:08316:6715-FAHRRADANLAGE-1,Parkplatz,STANDS,BIKE,48.1181241,7.7476098,18,,False,2025-12-10T01:03:37Z
38,INFRA-de:08317:33013-FAHRRADANLAGE-7,Parkplatz,LOCKERS,BIKE,48.6332494,8.0667666,100,,False,2025-12-10T01:03:37Z
39,INFRA-de:08136:5071-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,49.0339262,10.2705825,55,,False,2025-12-10T01:00:54Z
39,INFRA-de:08136:7027-PARKPLATZ-1,Parkplatz,OFF_STREET_PARKING_GROUND,CAR,48.8012885,9.6987298,40,,False,2025-12-10T01:00:54Z
60,851826817-96.025-139.7,Quinckestraße,ON_STREET,CAR,49.4200998,8.6828331,8,,False,2025-12-10T01:02:59Z
70,213,Schmezerstraße,ON_STREET,CAR,49.4734704,8.6057477,17,,False,2025-11-19T10:10:48Z
