agency_id,agency_name,agency_url,agency_timezone
"rvs-RVS","RVS","https://www.bahn.de/suedwestbus/view/index.shtml","Europe/Berlin"
"cw-07","walz","https://www.vgc-online.de","Europe/Berlin"
"cw-01","VOLZ Reisen","https://www.vgc-online.de","Europe/Berlin"
"cw-05","däuble","https://www.vgc-online.de","Europe/Berlin"
"cw-25","RAB Zweig Bus","https://www.vgc-online.de","Europe/Berlin"
"cw-11","eberhardt","https://www.vgc-online.de","Europe/Berlin"
"cw-02","Teinachtal-Reisen","https://www.vgc-online.de","Europe/Berlin"
"cw-13","VBN","https://www.vgc-online.de","Europe/Berlin"
"fds-07","POG/RVS","https://www.vgf-info.de","Europe/Berlin"
"fds-04","Omnibusverkehr FDS","https://www.vgf-info.de","Europe/Berlin"
"fds-02","Katz GmbH & Co.KG","https://www.vgf-info.de","Europe/Berlin"
"fds-03","Klumpp Omnibus","https://www.vgf-info.de","Europe/Berlin"
"fds-01","Schweizer Reisen","https://www.vgf-info.de","Europe/Berlin"
"fds-05","Wolpert Autoverkehr","https://www.vgf-info.de","Europe/Berlin"
"fds-06","Omnibusverk. Vögele","https://www.vgf-info.de","Europe/Berlin"
"tgo-27","SWEG Südwestdeutsche Landesverkehrs-GmbH","http://www.ortenaulinie.de","Europe/Berlin"
"tgo-26","SWEG Südwestdeutsche Landesverkehrs-GmbH","http://www.ortenaulinie.de","Europe/Berlin"
"tgo-28","SWEG Südwestdeutsche Landesverkehrs-GmbH","http://www.ortenaulinie.de","Europe/Berlin"
"tgo-30","SWEG Südwestdeutsche Landesverkehrs-GmbH","http://www.ortenaulinie.de","Europe/Berlin"
"tgo-25","SWEG Südwestdeutsche Landesverkehrs-GmbH","http://www.ortenaulinie.de","Europe/Berlin"
"sbg-SBG","SBG","https://www.suedbadenbus.de/suedbadenbus/view/index.shtml","Europe/Berlin"
"bod-16","Bürgerbus Ostrach","https://www.bodo.de","Europe/Berlin"
"bod-37","BürgerBus Aulendorf","https://www.bodo.de","Europe/Berlin"
"bod-38","Stadt Markdorf","https://www.bodo.de","Europe/Berlin"
"bod-13","Omnibus Verkehr Wangen","https://www.bodo.de","Europe/Berlin"
"bod-05","Bühler","https://www.bodo.de","Europe/Berlin"
"bod-23","Ehrmann Reisen GmbH & Co. KG","https://www.bodo.de","Europe/Berlin"
"bod-25","Omnibus Grabherr","https://www.bodo.de","Europe/Berlin"
"bod-15","VBS","https://www.bodo.de","Europe/Berlin"
"bod-24","Hutter Reisen","https://www.bodo.de","Europe/Berlin"
"bod-26","Omnibus Müller","https://www.bodo.de","Europe/Berlin"
"bod-27","Stadt Isny","https://www.bodo.de","Europe/Berlin"
"bod-09","Reisch","https://www.bodo.de","Europe/Berlin"
"bod-10","Schuler","https://www.bodo.de","Europe/Berlin"
"bod-36","SWÜ","https://www.bodo.de","Europe/Berlin"
"bod-40","Sohler Reisen","https://www.bodo.de","Europe/Berlin"
"bod-11","SV FN","https://www.bodo.de","Europe/Berlin"
"bod-14","Strauss Reisen","https://www.bodo.de","Europe/Berlin"
"bod-06","Omnibusverkehr Volk","https://www.bodo.de","Europe/Berlin"
"bod-47","Bürgermobil Meckenbeuren","https://www.bodo.de","Europe/Berlin"
"bod-41","Regionale öffentliche Bahn der Stadt Pfullendorf","https://www.bodo.de","Europe/Berlin"
"bod-04","Burkhard Reisebüro e.K.","https://www.bodo.de","Europe/Berlin"
